Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
"pavora-mill-27-planetary-grinder","Pavora Mill-27 Planetary Grinder","<p>A walk-behind planetary floor grinder for commercial slabs. This is the machine in the photo: yellow chassis, four-head deck, operator handles.</p><ul><li>Four-head planetary for grind, hone, and polish on warehouse slabs</li><li>Type: Planetary floor grinder</li><li>Power: 230V 1Ø / 480V 3Ø</li><li>Dimensions: 27"" working width</li><li>Weight: 486 lb</li></ul>","Pavora","Concrete Grinding & Polishing","grinder, planetary, concrete","TRUE","Title","Default Title","PV-0001","220446","shopify","5","deny","manual","12800.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/pavora/main/public/media/catalog/grinder.webp","Pavora Mill-27 Planetary Grinder","active"
"pavora-injecta-ep-pump","Pavora Injecta-EP Epoxy Pump","<p>A high-pressure injection grouting pump with hopper, gauge, and stand. Used to push epoxy into structural cracks — not a caulk gun.</p><ul><li>High-pressure grouting pump for structural cracks in slabs, walls, and decks</li><li>Type: Epoxy injection pump</li><li>Power: 120V drill drive</li><li>Dimensions: 18 × 14 × 28 in</li><li>Weight: 64 lb</li></ul>","Pavora","Concrete Crack Injection","epoxy, injection, pump","TRUE","Title","Default Title","PV-0002","29030","shopify","5","deny","manual","5600.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/pavora/main/public/media/catalog/pump.webp","Pavora Injecta-EP Epoxy Pump","active"
"pavora-injecta-pu-pump","Pavora Injecta-PU Poly Pump","<p>Polyurethane injection pump kit: pump body, hopper, hose, wand, and case. Stops water in parking decks and foundation walls.</p><ul><li>Water-stop polyurethane kit with hose, wand, and hard case</li><li>Type: Polyurethane injection pump</li><li>Power: 120V drill drive</li><li>Dimensions: Kit case 22 in</li><li>Weight: 48 lb</li></ul>","Pavora","Concrete Crack Injection","polyurethane, injection, leak","TRUE","Title","Default Title","PV-0003","21772","shopify","5","deny","manual","4800.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/pavora/main/public/media/catalog/pump2.webp","Pavora Injecta-PU Poly Pump","active"
"pavora-melt-120-melter","Pavora Melt-120 Crack Melter","<p>A walk-behind asphalt crack sealer: heated kettle, insulated hose, and applicator wand. The machine in the photo is the listing.</p><ul><li>Walk-behind hot-melt kettle for parking-lot crack programs</li><li>Type: Asphalt crack sealer</li><li>Power: Gasoline engine + burner</li><li>Dimensions: Walk-behind 48 in</li><li>Weight: 420 lb</li></ul>","Pavora","Asphalt Crack Sealing","melter, kettle, asphalt","TRUE","Title","Default Title","PV-0004","190509","shopify","5","deny","manual","9800.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/pavora/main/public/media/catalog/kettle.webp","Pavora Melt-120 Crack Melter","active"
"pavora-soda-pro-250","Pavora Soda-Pro 250","<p>A portable pressure blast pot on a wheeled frame with hose and nozzle. Use soda or sand — this is the pot, not a grinder.</p><ul><li>Wheeled pressure pot for soda or sand blasting</li><li>Type: Portable blast pot</li><li>Power: Requires 185 cfm air</li><li>Dimensions: Pot 36 in</li><li>Weight: 210 lb</li></ul>","Pavora","Soda & Sand Blasting","blast, soda, pot","TRUE","Title","Default Title","PV-0005","95254","shopify","5","deny","manual","6400.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/pavora/main/public/media/catalog/blast.webp","Pavora Soda-Pro 250","active"
"pavora-media-vac-recovery","Pavora Media-Vac Recovery","<p>A red recovery blast pot with filter cartridge and caster base. Recovers media instead of leaving it on the floor.</p><ul><li>Blast pot with built-in vacuum recovery and dust filter</li><li>Type: Recovery blast pot</li><li>Power: 230V + air</li><li>Dimensions: Vac 28 × 22 × 40 in</li><li>Weight: 142 lb</li></ul>","Pavora","Soda & Sand Blasting","vac, recovery, blast","TRUE","Title","Default Title","PV-0006","64410","shopify","5","deny","manual","4800.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/pavora/main/public/media/catalog/blast2.webp","Pavora Media-Vac Recovery","active"
"pavora-lase-200-fiber","Pavora Lase-200 Fiber Cleaner","<p>A wheeled fiber laser cleaning cart with the handheld gun coiled on top. This is the machine you see on DHgate when you search laser cleaner.</p><ul><li>Cart-mounted fiber laser with handheld gun — strip rust and paint without grit</li><li>Type: Handheld fiber laser cleaner</li><li>Power: 240V 1Ø</li><li>Dimensions: Cart 32 × 22 × 44 in</li><li>Weight: 186 lb</li></ul>","Pavora","Laser Cleaning","laser, rust, cleaning","TRUE","Title","Default Title","PV-0007","84368","shopify","5","deny","manual","28500.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/pavora/main/public/media/catalog/laser.webp","Pavora Lase-200 Fiber Cleaner","active"
"pavora-wash-cart-2700","Pavora Wash-Cart 2700","<p>A gas-powered pressure washer on a wheeled cart: engine, wand, hose, and soap tank. The listing photo is this machine.</p><ul><li>2700 PSI gas cart washer for lots, docks, and exteriors</li><li>Type: Gas pressure washer</li><li>Power: Gasoline engine</li><li>Dimensions: Cart 28 in</li><li>Weight: 72 lb</li></ul>","Pavora","Commercial Pressure Washing","pressure wash, gas, cart","TRUE","Title","Default Title","PV-0008","32659","shopify","5","deny","manual","3200.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/pavora/main/public/media/catalog/washer-cart.webp","Pavora Wash-Cart 2700","active"
"pavora-lotline-walk","Pavora Lotline Walk","<p>A walk-behind cold-paint road marking machine. This is a line striper — not a pressure washer and not a grinder.</p><ul><li>Cold-paint walk-behind for stalls, arrows, and hash marks</li><li>Type: Walk-behind line striper</li><li>Power: Gasoline engine</li><li>Dimensions: Walk-behind 40 in</li><li>Weight: 148 lb</li></ul>","Pavora","Parking Lot Painting","striper, parking lot, paint","TRUE","Title","Default Title","PV-0009","67132","shopify","5","deny","manual","5400.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/pavora/main/public/media/catalog/striper.webp","Pavora Lotline Walk","active"
"pavora-seal-gun-dual","Pavora Seal-Gun Dual","<p>A red dual-cartridge epoxy applicator gun. Two plungers, one trigger. This is a glue gun for two-part adhesive — not a drill.</p><ul><li>Manual 1:1 dual-cartridge gun for epoxy and structural adhesives</li><li>Type: Dual-cartridge epoxy gun</li><li>Power: None</li><li>Dimensions: Gun 24 in</li><li>Weight: 6 lb</li></ul>","Pavora","Commercial Caulking","caulk, epoxy, dual gun","TRUE","Title","Default Title","PV-0010","2722","shopify","5","deny","manual","890.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/pavora/main/public/media/catalog/caulk.webp","Pavora Seal-Gun Dual","active"
